,Mud,Grass,Water,Wall,Air
Mud Right,0,0,0,0,0
Mud Up,0,0,0,0,0
Mud Forward,0,0,0,0,0
Grass Right,0,0,0,0,0
Grass Up,0,0,0,0,0
Grass Forward,0,0,0,0,0
Water Right,0,0,0,0,0
Water Up,0,0,0,0,0
Water Forward,0,0,0,0,0
Wall Right,0,0,0,0,0
Wall Up,0,0,0,0,0
Wall Forward,0,0,0,0,0
Air Right,0,0,0,0,0
Air Up,0,0,0,0,0
Air Forward,0,0,0,0,0
